Field1,Text,Text1,Text2,Text3,Text4,Text5,Text6
"Ashish Tembhekar
@AshishTembhekar
·
Mar 1
""SIDESHOW!!! MY KINGG""
1
6
378",Ashish Tembhekar,@AshishTembhekar,"""SIDESHOW!!! MY KINGG""",VALORANT Esports NA,@valesports_na,"6:00 AM · Mar 1, 2024",What has been your favorite moment of #VCTAmericas Kickoff so far?
"Jake Vyper
@JakeVyper
·
Mar 1
Has to be this epic finish with Yoru (Tenz) + Zekken (Raze) ult combo
237",Jake Vyper,@JakeVyper,Has to be this epic finish with Yoru (Tenz) + Zekken (Raze) ult combo,VALORANT Esports NA,@valesports_na,"6:00 AM · Mar 1, 2024",What has been your favorite moment of #VCTAmericas Kickoff so far?
"Zekken's Dad
@HwystarP
·
Mar 1
@Sentinels
 winning
1
2
74
1.2K",Zekken's Dad,@HwystarP, winning,VALORANT Esports NA,@valesports_na,"6:00 AM · Mar 1, 2024",What has been your favorite moment of #VCTAmericas Kickoff so far?
"Eu sei que voces me odeiam
@thzinxp77
·
Feb 29
Esperamos
684",Eu sei que voces me odeiam,@thzinxp77,Esperamos,VALORANT Esports BR,@valesports_br,"10:00 PM · Feb 29, 2024","O 
@loud_qck
 está a uma vitória no #VCTAmericas Kickoff de disputar seu primeiro Masters internacional! 

O único Masters que o agora Duelista da 
@LOUDgg
 disputou foi em 2021, quando o torneio foi Regional. E aí, ele estará em Madri ?

 Descubra sábado (2)  LOUD x EG, às 19h"
"andxiv
@andxiv1
·
Feb 29
Masters regional ?
1
653",andxiv,@andxiv1,Masters regional ?,VALORANT Esports BR,@valesports_br,"10:00 PM · Feb 29, 2024","O 
@loud_qck
 está a uma vitória no #VCTAmericas Kickoff de disputar seu primeiro Masters internacional! 

O único Masters que o agora Duelista da 
@LOUDgg
 disputou foi em 2021, quando o torneio foi Regional. E aí, ele estará em Madri ?

 Descubra sábado (2)  LOUD x EG, às 19h"
"≈.paiN
@painzetesbo
·
Feb 29
Ele não jogou o primeiro masters reykjavik?
2
804",≈.paiN,@painzetesbo,Ele não jogou o primeiro masters reykjavik?,VALORANT Esports BR,@valesports_br,"10:00 PM · Feb 29, 2024","O 
@loud_qck
 está a uma vitória no #VCTAmericas Kickoff de disputar seu primeiro Masters internacional! 

O único Masters que o agora Duelista da 
@LOUDgg
 disputou foi em 2021, quando o torneio foi Regional. E aí, ele estará em Madri ?

 Descubra sábado (2)  LOUD x EG, às 19h"
"Yayayazi
@Yayayazii
·
Mar 1
Hey friends, the revised version with the Kaplan stache is now here! (i can't study, math is too hard) #SENWIN
4
16
242
12K",Yayayazi,@Yayayazii,"Hey friends, the revised version with the Kaplan stache is now here! (i can't study, math is too hard) ",Yayayazi,@Yayayazii,"10:56 AM · Feb 29, 2024","A good year to be a sen fan.
Now all i need is like $30 so i can buy the 
@Sentinels
 bundle.

Inspired by 
@jun_krjjk
 had to make one for the best team in NA + a cute and pretty 
@kyedae
 :D

#senwin #valorant #VCTAmericas"
"Sherlock
@monikajeph
·
Feb 29
@VaiByGoD
 yo my new viper main this might help you
2
612",Sherlock,@monikajeph, yo my new viper main this might help you,Plus LINEUPS,@PlusLINEUPS,"3:00 AM · Feb 29, 2024","VIPER molly on Bind used by SEN johnQT in VCT Americas    

(Lineup Difficulty 2/5 - a simple jump throw lineup that will block the entire default plantsite in A)      

Support for more  | #VALORANT #VCTAmericas"
"nuno乡
@DurteNuno
·
Feb 29
@drxkoNz
1
320",nuno乡,@DurteNuno,,Plus LINEUPS,@PlusLINEUPS,"3:00 AM · Feb 29, 2024","VIPER molly on Bind used by SEN johnQT in VCT Americas    

(Lineup Difficulty 2/5 - a simple jump throw lineup that will block the entire default plantsite in A)      

Support for more  | #VALORANT #VCTAmericas"
"Dasher1
@Dasher1_
·
Feb 29
@stasyC8
135",Dasher1,@Dasher1_,,Plus LINEUPS,@PlusLINEUPS,"3:00 AM · Feb 29, 2024","VIPER molly on Bind used by SEN johnQT in VCT Americas    

(Lineup Difficulty 2/5 - a simple jump throw lineup that will block the entire default plantsite in A)      

Support for more  | #VALORANT #VCTAmericas"
"addzee
@addzeefps
·
Feb 29
There is an easier way to do this Molly
103",addzee,@addzeefps,There is an easier way to do this Molly,Plus LINEUPS,@PlusLINEUPS,"3:00 AM · Feb 29, 2024","VIPER molly on Bind used by SEN johnQT in VCT Americas    

(Lineup Difficulty 2/5 - a simple jump throw lineup that will block the entire default plantsite in A)      

Support for more  | #VALORANT #VCTAmericas"
